Latitude,Longitude,Comentários
-23.2544167,-45.9015591,05/01/2016 de madrugada
-23.2814023,-45.9135266,14/01/2016 de madrugada
-23.1930758,-45.78303870000001,14/01/2016 pela manhã
-22.7409192,-45.5943336,18/01/2016 a tarde
-23.2042757,-45.89210449999999,05/01/2016 pela manhã
-23.3235195,-45.9927518,25/01/2016 a noite
-22.9563625,-45.4616231,13/01/2016 a noite
-22.7995613,-45.1970511,20/01/2016 a noite
-22.6657394,-45.0120143,25/01/2016 em hora incerta
-23.2034179,-45.89873009999999,08/01/2016 em hora incerta
-22.5776417,-44.9638165,24/01/2016 a noite
-22.6726794,-45.0049263,25/01/2016 a noite
-23.2967312,-45.9822381,26/01/2016 de madrugada
-23.2784687,-45.86155309999999,18/01/2016 de madrugada
-22.8141905,-45.1852382,29/01/2016 a tarde
-23.2052838,-45.9033931,08/01/2016 pela manhã
-23.2517602,-45.9061317,06/01/2016 a noite
-23.0110959,-45.5772138,18/01/2016 a noite
-23.2315949,-45.8782221,19/01/2016 em hora incerta
-23.2069009,-45.7867755,18/01/2016 de madrugada
-22.9237841,-45.4622112,25/01/2016 pela manhã
-23.1803306,-45.8862718,09/01/2016 a tarde
-22.5766854,-44.9594505,30/01/2016 pela manhã
-23.1729119,-45.8228437,18/01/2016 em hora incerta
-23.2183297,-45.8934173,19/01/2016 em hora incerta
-22.9264308,-45.4633247,16/01/2016 a tarde
-22.5701121,-44.9651298,30/01/2016 a noite
-23.3016587,-45.962213,13/01/2016 a tarde
-23.0147457,-45.54934550000001,18/01/2016 de madrugada
-23.2015545,-45.85558220000001,19/01/2016 de madrugada
-23.1126004,-45.70823660000001,14/01/2016 pela manhã
-23.1724404,-45.8241577,19/01/2016 a tarde
-22.7404216,-45.5890992,22/01/2016 de madrugada
-23.0039527,-45.57997810000001,10/01/2016 a noite
-23.2605824,-45.96494209999999,16/01/2016 de madrugada
-23.0110174,-45.58985209999999,21/01/2016 em hora incerta
-23.0110174,-45.58985209999999,21/01/2016 em hora incerta
-23.2287746,-45.90289420000001,07/01/2016 a tarde
-22.9484442,-45.4653113,18/01/2016 de madrugada
-23.1723807,-45.8901724,03/01/2016 em hora incerta
-22.9344195,-45.458396,18/01/2016 a noite
-23.3025988,-45.9656569,25/01/2016 a tarde
-23.1041283,-45.70696090000001,15/01/2016 a tarde
-23.2490046,-45.9030942,08/01/2016 a tarde
-23.1289288,-45.7384832,22/01/2016 pela manhã
-22.8145132,-45.1971484,31/01/2016 a noite
-23.0319644,-45.5349005,11/01/2016 a noite
-23.1928236,-45.8937024,11/01/2016 pela manhã
-23.2301425,-45.8991275,08/01/2016 a tarde
-23.0940453,-45.69504939999999,17/01/2016 em hora incerta
-23.2589114,-45.9105979,09/01/2016 de madrugada
-22.6650996,-45.0116583,26/01/2016 em hora incerta
-23.0313451,-45.5327577,11/01/2016 a noite
-23.2134524,-45.88365839999999,12/01/2016 a tarde
-23.2442184,-45.8424927,09/01/2016 a tarde
-22.9444204,-45.4624221,24/01/2016 de madrugada
-23.3056911,-45.9611232,28/01/2016 a tarde
-23.0196506,-45.5496546,13/01/2016 a noite
-22.9244464,-45.4574202,24/01/2016 pela manhã
-23.0333014,-45.5574591,14/01/2016 a noite
-22.9456046,-45.4992663,24/01/2016 de madrugada
-23.6175034,-45.3970616,09/01/2016 a tarde
-22.9234684,-45.4579011,24/01/2016 a noite
-23.6245105,-45.3810907,09/01/2016 a tarde
-23.2044966,-45.8957021,13/01/2016 a noite
-23.219245,-45.8944289,28/01/2016 a tarde
-23.1778565,-45.8829836,13/01/2016 pela manhã
-23.1171316,-45.722384,20/01/2016 a tarde
-23.3056911,-45.9611232,27/01/2016 a tarde
-23.1941873,-45.9046552,13/01/2016 a tarde
-23.0463074,-45.5913545,15/01/2016 a noite
-23.0231138,-45.55941259999999,29/01/2016 a tarde
-23.2315949,-45.8782221,10/01/2016 a noite
-23.1642673,-45.8982898,13/01/2016 em hora incerta
-23.7836101,-45.6161247,19/01/2016 a tarde
-23.6292452,-45.384432,10/01/2016 a noite
-23.0991537,-45.7049221,22/01/2016 a noite
-23.0363112,-45.5853359,16/01/2016 pela manhã
-23.1904852,-45.8673203,14/01/2016 em hora incerta
-23.6181265,-45.3976439,11/01/2016 em hora incerta
-23.3059672,-45.9675986,24/01/2016 a noite
-23.2216909,-45.9095547,12/01/2016 pela manhã
-23.1343595,-45.7666631,14/01/2016 a noite
-22.8408313,-45.232177,23/01/2016 a tarde
-23.1894031,-45.8798247,15/01/2016 de madrugada
-23.250494,-45.907906,12/01/2016 pela manhã
-23.1795824,-45.88703820000001,15/01/2016 pela manhã
-23.2770616,-45.9453623,25/01/2016 de madrugada
-23.0347063,-45.5625519,17/01/2016 a noite
-23.2171529,-45.8886868,12/01/2016 a noite
-23.1861511,-45.88066269999999,15/01/2016 a tarde
-23.310309,-46.0121957,25/01/2016 a tarde
-23.0382755,-45.5884845,17/01/2016 a noite
-23.2576086,-45.8966481,13/01/2016 pela manhã
-23.1981946,-45.8824642,16/01/2016 em hora incerta
-22.9563133,-45.8381944,16/01/2016 pela manhã
-22.9563133,-45.8381944,16/01/2016 pela manhã
-22.9563133,-45.8381944,16/01/2016 pela manhã
-23.0911101,-45.6886987,26/01/2016 a noite
